#n	h	g
0.000000	      0.000000	      0.000000
0.012350	      0.000000	      0.000000
0.024700	      0.000000	      0.000000
0.037050	      0.000000	      0.000000
0.049400	      0.000000	      0.000000
0.061750	      0.000000	      0.000000
0.074100	      0.000000	      0.000000
0.086450	      0.000000	      0.000000
0.098800	      0.000000	      0.000000
0.111150	      0.000000	      0.000000
0.123500	      0.000000	      0.000000
0.135850	      0.000000	      0.000000
0.148200	      0.000000	      0.000000
0.160550	      0.000000	      0.000000
0.172900	      0.000000	      0.000000
0.185250	      0.000000	      0.000000
0.197600	      0.000000	      0.000000
0.209950	      0.000000	      0.000000
0.222300	      0.000000	      0.000000
0.234650	      0.000000	      0.000000
0.247000	      0.000000	      0.000000
0.259350	      0.000000	      0.000000
0.271700	      0.000000	      0.000000
0.284050	      0.000000	      0.000000
0.296400	      0.000000	      0.000000
0.308750	      0.000000	      0.000000
0.321100	      0.000000	      0.000000
0.333450	      0.000000	      0.000000
0.345800	      0.000000	      0.000000
0.358150	      0.000000	      0.000000
0.370500	      0.000000	      0.000000
0.382850	      0.000000	      0.000000
0.395200	      0.000000	      0.000000
0.407550	      0.000000	      0.000000
0.419900	      0.000000	      0.000000
0.432250	      0.000000	      0.000000
0.444600	      0.000000	      0.000000
0.456950	      0.000000	      0.000000
0.469300	      0.000000	      0.000000
0.481650	      0.000000	      0.000000
0.494000	      0.000000	      0.000000
0.506350	      0.000000	      0.000000
0.518700	      0.000000	      0.000000
0.531050	      0.000000	      0.000000
0.543400	      0.000000	      0.000000
0.555750	      0.000000	      0.000000
0.568100	      0.000000	      0.000000
0.580450	      0.000000	      0.000000
0.592800	      0.000000	      0.000000
0.605150	      0.000000	      0.000000
0.617500	      0.000000	      0.000000
0.629850	      0.000000	      0.000000
0.642200	      0.000000	      0.000000
0.654550	      0.000000	      0.000000
0.666900	      0.000000	      0.000000
0.679250	      0.000000	      0.000000
0.691600	      0.000000	      0.000000
0.703950	      0.000000	      0.000000
0.716300	      0.000000	      0.000000
0.728650	      0.000000	      0.000000
0.741000	      0.000000	      0.000000
0.753350	      0.000000	      0.000000
0.765700	      0.000000	      0.000000
0.778050	      0.000000	      0.000000
0.790400	      0.000000	      0.000000
0.802750	      0.000000	      0.000000
0.815100	      0.000000	      0.000000
0.827450	      0.000000	      0.000000
0.839800	      0.000000	      0.000000
0.852150	      0.000000	      0.000000
0.864500	      0.000000	      0.000000
0.876850	      0.000000	      0.000000
0.889200	      0.000000	      0.000000
0.901550	      0.000000	      0.000000
0.913900	      0.000000	      0.000000
0.926250	      0.000000	      0.000000
0.938600	      0.000000	      0.000000
0.950950	      0.000000	      0.000000
0.963300	      0.000000	      0.000000
0.975650	      0.000000	      0.000000
0.988000	      0.000000	      0.000000
1.000350	      0.000000	      0.000000
1.012700	      0.000000	      0.000000
1.025050	      0.000000	      0.000000
1.037400	      0.000000	      0.000000
1.049750	      0.000000	      0.000000
1.062100	      0.000000	      0.000000
1.074450	      0.000000	      0.000000
1.086800	      0.000000	      0.000000
1.099150	      0.000000	      0.000000
1.111500	      0.000000	      0.000000
1.123850	      0.000000	      0.000000
1.136200	      0.000000	      0.000000
1.148550	      0.000000	      0.000000
1.160900	      0.000000	      0.000000
1.173250	      0.000000	      0.000000
